;Michelin;Slug;Bookable;Street;ZipCode;Locality;Country;Longitude;Latitude;Cantidad_metodos_pago;Reservas_today;Reservas_last_week;Rate_Distinction;Numero_fotos;Is_Affiliated;Name;Average_Price;Numero_awards;Review_count;Rating_count;Food_rating;Service_rating;Ambience_rating;Tipo_comida;Provincia;Poblacion;Salario Medio Anual
4156;False;madame-suzanne;True;Calle Casas de Campos, 31;29001;Málaga;Spain;-4.424047;36.7158279;6;0;3;Very good;7;True;Madame Suzanne;18.0;0;239.0;487.0;8.3;8.3;8.1;Andalusian;malaga;1695651;17390
4157;False;meson-segalerva;True;Calle Actriz Rosario Pino, 6, 29014, Málaga, Spain;29014;Málaga;Spain;-4.42425;36.732233;9;0;1;Very good;42;True;Mesón Segalerva;15.0;0;12.0;65.0;8.6;7.9;8.0;Andalusian;malaga;1695651;17390
4158;False;sake-izakaya;True;C. San Juan de Letrán, 4;29012;Málaga;Spain;-4.417921100000001;36.7238462;5;0;4;Excellent;8;True;Sake Izakaya;20.0;0;8.0;31.0;9.4;9.5;9.2;Asian;malaga;1695651;17390
4159;False;candado-beach;True;Carretera de Almeria s/n. (Club Náutico El Candado);29018;Málaga;Spain;-4.34397;36.7146;5;0;7;Excellent;15;True;Candado Beach;23.0;0;107.0;317.0;9.2;9.1;9.1;Mediterranean;malaga;1695651;17390
4160;False;el-rinconcito;True;Calle Calderón de la Barca, 2;29005;Málaga;Spain;-4.4237153;36.7204077;4;0;5;;15;True;El Rinconcito;15.0;0;316.0;649.0;7.5;7.2;7.7;Mediterranean;madrid;6751251;26721
4161;False;catedral-taberna;True;Calle Calderón de la Barca, 6;29005;Málaga;Spain;-4.4239611;36.7203326;6;0;0;;8;True;Catedral Taberna;15.0;0;170.0;351.0;7.3;7.3;7.3;Andalusian;malaga;1695651;17390
4162;False;unica-pizzeria-contemporanea;True;C. Barroso, 3;29001;Málaga;Spain;-4.4222197;36.7159484;5;0;0;Excellent;10;True;Unica Pizzería Contemporanea;28.0;0;27.0;63.0;9.7;9.9;9.6;Italian;malaga;1695651;17390
4163;False;ocho;True;C. Pedro de Toledo, 2;29015;Málaga;Spain;-4.4181569;36.7206319;6;0;11;Excellent;32;True;Ocho;45.0;0;58.0;128.0;9.6;9.8;9.4;Argentinian;malaga;1695651;17390
4164;False;los-balcones-de-malaga;True;Calle Niño de Guevara, 4;29008;Málaga;Spain;-4.4192402;36.7223567;5;0;0;Fabulous;30;True;Los balcones de Málaga;18.0;0;227.0;483.0;8.6;8.7;8.6;Spanish;malaga;1695651;17390
4165;False;niccia;True;Calle Casapalma, 7;29008;Málaga;Spain;-4.420253400000001;36.72315789999999;4;1;36;;4;True;Niccia;30.0;0;0.0;0.0;;;;Argentinian;malaga;1695651;17390
4166;False;arrozeando-pedregalejo;True;Avenida juan sebastian Elcano 5;29017;Málaga;Spain;-4.4212655;36.721261;4;0;4;Fabulous;5;True;Arrozeando Pedregalejo;23.0;0;46.0;106.0;9.1;8.7;8.8;Arrocería;malaga;1695651;17390
4167;False;el-merendero-de-antonio-martin;True;La Malagueta, 4;29016;Málaga;Spain;-4.4096186;36.71802;3;2;15;Excellent;10;True;El Merendero de Antonio Martín;25.0;0;257.0;619.0;9.0;9.1;9.1;Spanish;malaga;1695651;17390
4168;False;alegria-flamenco-y-gastronomia;True;C. Vélez Málaga, 6;29016;Málaga;Spain;-4.4112565;36.7183338;9;0;0;Excellent;28;True;Alegría - Flamenco y Gastronomía;30.0;0;92.0;181.0;9.1;8.6;9.1;European;malaga;1695651;17390
4169;False;el-asturiano;True;Plaza de Bailén, 2;29009;Málaga;Spain;-4.4320245;36.7238535;3;1;3;Fabulous;20;True;El Asturiano;20.0;0;13.0;33.0;9.3;8.6;7.9;From Asturias;malaga;1695651;17390
4170;False;rompeolas;True;Paseo Marítimo el Pedregal, 89;29017;Málaga;Spain;-4.36783;36.71974;3;0;6;Fabulous;13;True;Rompeolas;15.0;0;74.0;173.0;8.7;8.5;8.7;Mediterranean;malaga;1695651;17390
4171;False;descorche-malaga-d-o-c;True;Calle Álamos, 8, Málaga Spain;29012;Málaga;Spain;-4.4200777;36.7238708;6;0;42;Fabulous;31;True;Descorche Málaga D.O.C.;25.0;0;59.0;148.0;8.9;8.7;8.6;Andalusian;malaga;1695651;17390
4172;False;los-marangos-alamos;True;C. Álamos, 28;29012;Málaga;Spain;-4.4190428;36.7233942;5;0;0;Very good;5;True;Los Marangos Alamos;25.0;0;2.0;10.0;8.0;8.2;8.0;Mediterranean;malaga;1695651;17390
4173;False;la-casona-los-marangos;True;C. Luis de Velázquez, 1;29008;Málaga;Spain;-4.4215058;36.7218621;5;0;13;Fabulous;11;True;La Casona los Marangos;18.0;0;518.0;1335.0;8.9;8.7;9.0;Mediterranean;malaga;1695651;17390
4174;False;viznaga-tapas;True;Calle Luis de Velázquez, 7;29008;Málaga;Spain;-4.4212835;36.722271;2;0;23;Very good;10;True;Viznaga Tapas;14.0;0;1204.0;3044.0;8.4;8.8;8.2;Mediterranean;malaga;1695651;17390
4175;False;lo-de-merche-bodegon;True;C. Compás de la Victoria, 26;29012;Málaga;Spain;-4.4131726;36.7283442;5;0;0;Fabulous;5;True;Lo de Merche Bodegon;16.0;0;0.0;5.0;9.2;9.2;7.6;Mediterranean;malaga;1695651;17390
4176;False;la-cayetana-av-de-andalucia;True;Av. de Andalucía, 4-6 Sótano;29007;Málaga;Spain;-4.4278114;36.7170429;1;0;0;Very good;4;True;La Cayetana - Av. de Andalucía;20.0;0;80.0;193.0;8.4;8.4;8.0;Mediterranean;malaga;1695651;17390
4177;False;gusto;True;Calle Bolsa, 11;29015;Málaga;Spain;-4.420339;36.7194267;3;2;62;Fabulous;8;True;Gusto;20.0;0;209.0;666.0;8.7;8.3;8.2;Italian;malaga;1695651;17390
4178;False;la-tribuna-malaga;True;C. Carretería, 13;29008;Málaga;Spain;-4.4248317;36.722268;4;0;2;;43;True;La Tribuna Málaga;20.0;0;22.0;59.0;8.0;8.2;7.5;Argentinian;malaga;1695651;17390
4179;False;la-tagliatella-cc-plaza-mayor;True;Calle Alfonso Ponce de León, 3;29004;Málaga;Spain;-4.4785967;36.656744;4;0;3;Very good;7;True;La Tagliatella - CC Plaza Mayor;18.0;0;127.0;265.0;8.4;8.8;6.8;Italian;malaga;1695651;17390
4180;False;carbon-carbon-grill-drinks;True;C. Granada, 23;29015;Málaga;Spain;-4.4205082;36.7218571;4;0;0;Fabulous;11;True;Carbón Carbón Grill & Drinks;25.0;0;14.0;31.0;8.2;9.1;8.9;Steakhouse;malaga;1695651;17390
4181;False;la-guerta;True;Calle Garcerán, 22;29002;Málaga;Spain;-4.436139;36.7019857;3;0;3;Very good;6;True;La Güerta;12.0;0;120.0;224.0;8.6;8.2;7.7;Mediterranean;malaga;1695651;17390
4182;False;palocortado;True;Calle Molina Lario, 13;29015;Málaga;Spain;-4.4197449;36.7192143;5;1;9;Fabulous;30;True;Palocortado;38.0;0;229.0;625.0;9.0;8.7;8.7;Spanish;malaga;1695651;17390
4183;False;volcanico-restaurante;True;Av. de José Ortega y Gasset, 216;29006;Málaga;Spain;-4.46997;36.7068467;4;0;2;Very good;8;True;Volcánico Restaurante;35.0;0;7.0;16.0;8.8;7.8;8.3;Mediterranean;malaga;1695651;17390
4184;False;la-pool-de-teatinos;True;C. Sófocles, 11;29010;Málaga;Spain;-4.480319;36.722608;4;0;0;;11;True;La Pool de Teatinos;15.0;0;13.0;18.0;;;;Mediterranean;malaga;1695651;17390
4185;True;la-cosmo;True;C. Císter, 4;29015;Málaga;Spain;-4.4185706;36.720501;5;24;237;Excellent;13;True;La Cosmo;37.0;1;67.0;205.0;9.4;9.1;8.5;Spanish;malaga;1695651;17390
4186;False;cantarrana;True;C. Fresca, 12;29015;Málaga;Spain;-4.4209519;36.7203183;5;1;23;Excellent;11;True;Cantarrana;25.0;0;111.0;342.0;9.2;9.2;8.9;Mediterranean;malaga;1695651;17390
4187;False;cafe-del-soho;True;Calle Duquesa de Parcent, 10;29001;Málaga;Spain;-4.4236348;36.7146808;5;0;0;;11;True;Cafe del Soho;20.0;0;3.0;3.0;;;;Spanish;malaga;1695651;17390
4188;False;osteria-angelino-1899;True;Calle Pedro de Toledo, 4;29015;Málaga;Spain;-4.4180908;36.7208914;6;0;4;Excellent;10;True;Osteria Angelino 1899;23.0;0;454.0;1003.0;9.1;9.3;9.1;Italian;malaga;1695651;17390
4189;False;tandoori-mex;True;Calle Esparteros, 8;29005;Málaga;Spain;-4.4225378;36.7190244;5;0;0;;6;True;Tandoori Mex;15.0;0;170.0;319.0;7.5;6.4;5.6;Indian;malaga;1695651;17390
4190;False;restaurante-cafeteria-plaza;True;Plaza de la Marina, 2;29015;Málaga;Spain;-4.4209864;36.7186184;3;0;0;;8;True;Restaurante Cafeteria Plaza;20.0;0;4.0;12.0;;;;Spanish;malaga;1695651;17390
4191;False;gaucho-grill;False;Muelle Uno Local 61;29001;Málaga;Spain;-4.413081;36.717498;2;0;0;;7;False;Gaucho Grill;18.0;0;18.0;21.0;;;;Argentinian;malaga;1695651;17390
